date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:02:41	413062/413062	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Aug%202020%2012:02:37%20GMT	https://www.bookmundi.com/kathmandu/everest-base-camp-trek-3841	C:/Users/thinkpad/Desktop/xyz/www.bookmundi.com/kathmandu/everest-base-camp-trek-3841.html	(from )
18:02:42	328/328	---M--	200	added ('OK')	text/plain	date:Thu,%2026%20Dec%202019%2007:34:18%20GMT	https://www.bookmundi.com/robots.txt		(from )
18:02:42	1491/1491	---M--	200	added ('OK')	image/png	etag:W/%22PSA-7nhqMgO2_C%22	https://www.bookmundi.com/static/favicon/57.png	C:/Users/thinkpad/Desktop/xyz/www.bookmundi.com/static/favicon/57.png	(from https://www.bookmundi.com/kathmandu/everest-base-camp-trek-3841)
18:02:43	1526/1526	---M--	200	added ('OK')	image/png	etag:W/%22PSA-sfAy1TSNqf%22	https://www.bookmundi.com/static/favicon/60.png	C:/Users/thinkpad/Desktop/xyz/www.bookmundi.com/static/favicon/60.png	(from https://www.bookmundi.com/kathmandu/everest-base-camp-trek-3841)
18:02:43	1637/1637	---M--	200	added ('OK')	image/png	etag:W/%22PSA-q6DIg6bhg3%22	https://www.bookmundi.com/static/favicon/72.png	C:/Users/thinkpad/Desktop/xyz/www.bookmundi.com/static/favicon/72.png	(from https://www.bookmundi.com/kathmandu/everest-base-camp-trek-3841)
18:02:43	1711/1711	---M--	200	added ('OK')	image/png	etag:W/%22PSA-IomycWdUAV%22	https://www.bookmundi.com/static/favicon/76.png	C:/Users/thinkpad/Desktop/xyz/www.bookmundi.com/static/favicon/76.png	(from https://www.bookmundi.com/kathmandu/everest-base-camp-trek-3841)
18:02:44	2118/2118	---M--	200	added ('OK')	image/png	etag:W/%22PSA-kiQBzggWJH%22	https://www.bookmundi.com/static/favicon/114.png	C:/Users/thinkpad/Desktop/xyz/www.bookmundi.com/static/favicon/114.png	(from https://www.bookmundi.com/kathmandu/everest-base-camp-trek-3841)
18:02:44	2169/2169	---M--	200	added ('OK')	image/png	etag:W/%22PSA-uXpiE7hP2F%22	https://www.bookmundi.com/static/favicon/120.png	C:/Users/thinkpad/Desktop/xyz/www.bookmundi.com/static/favicon/120.png	(from https://www.bookmundi.com/kathmandu/everest-base-camp-trek-3841)
18:02:46	3727/3727	---M--	200	added ('OK')	image/png	etag:W/%22PSA-Dlyx2NAG_4%22	https://www.bookmundi.com/static/favicon/144.png	C:/Users/thinkpad/Desktop/xyz/www.bookmundi.com/static/favicon/144.png	(from https://www.bookmundi.com/kathmandu/everest-base-camp-trek-3841)
18:02:46	3984/3984	---M--	200	added ('OK')	image/png	etag:W/%22PSA-OESUFE7kCs%22	https://www.bookmundi.com/static/favicon/152.png	C:/Users/thinkpad/Desktop/xyz/www.bookmundi.com/static/favicon/152.png	(from https://www.bookmundi.com/kathmandu/everest-base-camp-trek-3841)
